County,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson3,State
Lapeer,60,2,15,,4,39,351,112,213,26,2,
Livingston,70,1,28,,4,37,552,97,427,28,7,
Macomb,322,2,55,,36,229,"1,436",196,"1,168",72,12,
Midland,50,1,22,,1,26,356,120,217,19,8,
Monroe,167,5,56,,19,87,"1,521",344,"1,065",112,23,
Montcalm,54,0,21,,2,31,226,51,164,11,0,
Muskegon,66,0,25,,1,40,555,95,437,23,5,
Oakland,33,0,10,,0,23,52,7,37,8,6,
Ottawa,559,3,204,,29,323,"2,492",467,"1,942",83,19,
Saginaw,98,2,10,,11,75,494,80,382,32,4,
St. Clair,189,2,34,,3,150,974,190,730,54,14,
Van Buren,120,0,29,,4,87,437,194,210,33,5,
Washtenaw,588,1,69,,80,438,"1,667",391,"1,067",209,16,
Wayne,6,0,4,,1,1,0,0,0,0,0,
Alcona,10,0,2,,0,8,94,40,53,1,1,MICHIGAN - Nonmetropolitan Counties
Alger,0,0,0,,0,0,5,0,4,1,0,
Allegan,131,0,28,,2,101,558,147,369,42,5,
Alpena,10,0,3,,1,6,36,10,23,3,0,
Antrim,15,0,6,,0,9,279,118,153,8,0,
Arenac,29,1,16,,0,12,100,33,57,10,2,
Baraga,3,0,0,,0,3,26,9,17,0,0,
Benzie,18,0,6,,0,12,100,11,86,3,0,
Branch,10,0,5,,0,5,61,11,45,5,0,
Charlevoix,21,0,12,,1,8,121,20,96,5,0,
Cheboygan,7,0,6,,0,1,70,27,41,2,1,
Chippewa,6,0,1,,0,5,55,16,37,2,0,
Clare,90,1,21,,1,67,412,101,291,20,8,
Crawford,18,0,9,,0,9,104,39,58,7,2,
Delta,9,0,5,,0,4,52,14,36,2,0,
Emmet,28,0,10,,0,18,176,54,121,1,2,
Gladwin,27,0,5,,1,21,126,58,64,4,0,
Gogebic,6,0,4,,0,2,52,10,39,3,0,
Grand Traverse,125,2,34,,5,84,593,100,460,33,5,
Gratiot,21,0,9,,2,10,279,45,221,13,2,
Hillsdale,30,1,11,,0,18,132,43,83,6,1,
Houghton,13,0,9,,1,3,77,19,51,7,1,
Huron,24,0,7,,1,16,103,32,66,5,0,
Ionia,45,1,30,,1,13,267,54,204,9,1,
Iosco,0,0,0,,0,0,0,0,0,0,0,
Iron,8,1,3,,1,3,19,8,11,0,0,
Isabella,48,0,16,,6,26,301,92,201,8,3,
Kalkaska,60,0,2,,1,57,195,38,145,12,2,
Keweenaw,3,0,2,,0,1,26,11,15,0,0,
Lake,20,0,2,,1,17,156,68,82,6,0,
Leelanau,12,0,2,,2,8,77,16,55,6,1,
Lenawee,30,0,7,,2,21,230,85,132,13,0,
Luce,20,0,1,,0,19,73,19,51,3,0,
Mackinac,6,0,4,,0,2,69,11,54,4,1,
Manistee,36,0,17,,0,19,261,48,206,7,2,
Marquette,13,0,3,,3,7,142,17,120,5,0,
Mason,28,0,8,,0,20,191,39,144,8,1,
Mecosta,241,0,18,,2,221,378,62,302,14,3,
Menominee,16,0,9,,0,7,49,19,28,2,0,
Missaukee,21,0,6,,1,14,139,26,110,3,0,
Montmorency,4,0,0,,0,4,19,7,5,7,0,
Newaygo,45,1,13,,0,31,257,67,184,6,2,
Oceana,32,0,4,,2,26,245,66,170,9,1,
Ogemaw,22,0,3,,1,18,163,57,99,7,1,
Ontonagon,13,0,0,,0,13,20,6,10,4,0,
Osceola,45,0,17,,2,26,205,31,143,31,0,
Oscoda,27,0,4,,0,23,158,43,109,6,0,
Otsego,13,0,8,,0,5,49,16,33,0,0,
Presque Isle,5,0,3,,0,2,21,7,13,1,0,
Roscommon,19,1,7,,0,11,148,40,103,5,1,
Sanilac,45,0,8,,2,35,192,84,94,14,1,
Shiawassee,23,0,13,,2,8,134,39,93,2,1,
St. Joseph,54,0,10,,0,44,131,43,76,12,2,
Tuscola,43,0,8,,0,35,205,58,123,24,0,
Wexford,41,0,18,,0,23,260,47,209,4,3,
Anoka,44,1,15,,5,23,977,157,767,53,7,MINNESOTA - Metropolitan Counties
Blue Earth,15,1,7,,0,7,103,42,52,9,1,
Carlton,19,0,8,,2,9,166,49,99,18,3,
Carver8,49,0,5,,4,40,542,83,432,27,1,
Chisago,12,0,2,,0,10,213,51,145,17,0,
Clay,5,0,0,,1,4,65,27,29,9,0,
Dakota,32,0,1,,0,31,90,31,56,3,0,
Dodge,4,0,0,,0,4,71,12,47,12,0,
Fillmore,7,0,0,,1,6,73,23,46,4,1,
Hennepin,19,0,0,,3,16,61,2,54,5,0,
Houston,4,0,2,,0,2,42,7,32,3,0,
Isanti,28,0,10,,0,18,328,88,216,24,1,
Le Sueur,5,0,1,,0,4,109,31,78,0,0,
Mille Lacs,23,1,5,,3,14,455,79,321,55,0,
Nicollet,3,0,2,,0,1,62,21,41,0,0,
Olmsted,23,0,13,,2,8,280,85,170,25,7,
Polk,30,0,9,,0,21,228,72,146,10,3,
Ramsey,63,0,23,,16,24,"1,096",140,876,80,1,
Sherburne,35,0,12,,3,20,405,68,319,18,0,
Sibley,4,0,3,,0,1,2,0,2,0,0,
Stearns,47,0,15,,2,30,454,79,345,30,1,
St. Louis,51,1,13,,1,36,717,244,397,76,9,
Wabasha,6,0,0,,0,6,45,6,33,6,0,
Washington,75,0,19,,4,52,848,180,603,65,0,
Wright,97,2,41,,5,49,"1,737",126,"1,545",66,11,
Aitkin,11,1,4,,2,4,263,104,143,16,0,MINNESOTA - Nonmetropolitan Counties
Becker,17,0,4,,0,13,118,51,48,19,0,
Beltrami,52,0,9,,2,41,387,94,251,42,2,
Big Stone,1,0,1,,0,0,23,11,12,0,0,
Brown,4,0,0,,0,4,20,2,17,1,0,
Cass,54,1,30,,3,20,401,122,235,44,0,
Chippewa,1,0,0,,0,1,30,11,17,2,0,
Clearwater,16,0,3,,0,13,93,36,53,4,2,
Cook,5,0,3,,0,2,115,29,83,3,0,
Cottonwood,2,0,0,,0,2,15,4,11,0,0,
Crow Wing,24,0,6,,1,17,321,116,190,15,1,
Douglas,14,0,5,,2,7,162,55,97,10,0,
Faribault,2,0,2,,0,0,62,29,24,9,0,
Freeborn,3,1,2,,0,0,79,27,43,9,1,
Goodhue,19,0,8,,2,9,161,46,95,20,1,
Grant,1,0,0,,0,1,13,5,8,0,0,
Hubbard,20,0,6,,1,13,209,74,126,9,1,
Itasca,37,1,13,,0,23,135,40,89,6,1,
Jackson,2,0,1,,1,0,40,7,31,2,0,
Kanabec,22,0,0,,0,22,237,68,140,29,0,
Kandiyohi,22,0,3,,2,17,166,26,126,14,0,
Kittson,1,0,0,,0,1,20,2,18,0,0,
Lac qui Parle,1,0,1,,0,0,26,11,15,0,1,
Lake,1,0,0,,0,1,14,4,5,5,0,
Lake of the Woods,1,0,1,,0,0,5,2,2,1,0,
Lincoln,12,0,0,,0,12,0,0,0,0,0,
Lyon,3,0,0,,0,3,56,20,32,4,0,
Marshall,5,0,1,,0,4,44,8,29,7,1,
Martin,2,0,1,,0,1,15,5,9,1,0,
McLeod,14,0,6,,0,8,81,28,51,2,0,
Meeker,17,1,11,,0,5,113,25,73,15,0,
Mower,10,0,2,,0,8,91,35,47,9,0,
Murray,1,0,0,,0,1,37,4,31,2,0,
Nobles,4,0,1,,0,3,24,15,8,1,0,
Norman,0,0,0,,0,0,2,0,2,0,1,
Otter Tail,20,0,6,,0,14,379,155,206,18,3,
Pennington,2,0,0,,0,2,15,5,7,3,0,
Pine,78,0,20,,6,52,864,164,597,103,6,
Pope,4,0,0,,0,4,33,6,22,5,0,
Red Lake,0,0,0,,0,0,8,0,7,1,0,
Redwood,6,0,1,,0,5,58,13,40,5,0,
Renville,7,0,0,,0,7,87,20,61,6,0,
Rice,16,0,4,,1,11,153,41,92,20,2,
Rock,36,0,0,,0,36,70,11,53,6,0,
Roseau,1,0,1,,0,0,75,18,50,7,0,
Steele,13,1,1,,1,10,80,21,49,10,1,
Stevens,5,0,4,,0,1,36,17,19,0,0,
Swift,2,0,0,,0,2,6,5,0,1,0,
Todd,22,0,13,,0,9,153,51,96,6,3,
Traverse,1,0,0,,0,1,20,4,15,1,1,
Wadena,1,0,0,,0,1,3,3,0,0,1,
Waseca,3,0,2,,0,1,54,19,29,6,0,
Watonwan,4,0,2,,0,2,30,18,8,4,0,
Wilkin,3,0,1,,1,1,20,1,18,1,0,
Winona,12,1,0,,0,11,47,7,34,6,0,
Yellow Medicine,4,0,1,,0,3,35,18,14,3,0,
DeSoto,36,1,2,,6,27,454,200,238,16,0,MISSISSIPPI - Metropolitan Counties
Hancock,42,2,,0,2,38,590,129,396,65,2,
Harrison,59,1,8,,10,40,"1,016",216,671,129,9,
Hinds8 ,89,2,11,,8,68,406,158,181,67,,
Jackson,114,4,,38,15,57,"1,426",381,874,171,7,
Lamar,96,1,,7,9,79,692,270,415,7,0,
Madison,24,0,,5,4,15,277,95,152,30,4,
Marshall,3,0,1,,0,2,158,3,145,10,1,
Rankin,36,2,3,,3,28,622,147,432,43,4,
Tunica,34,0,,9,7,18,417,93,292,32,,
Choctaw,3,0,,0,0,3,72,29,42,1,1,MISSISSIPPI - Nonmetropolitan Counties
Claiborne,22,3,4,,1,14,73,50,14,9,0,
Grenada,9,0,,0,3,6,136,54,80,2,,
Jones,142,1,50,,9,82,768,363,405,0,0,
Kemper,10,0,,0,3,7,58,31,26,1,1,
Lauderdale,53,5,,15,18,15,604,300,264,40,7,
Lincoln,16,0,,4,0,12,280,112,150,18,4,
Marion,41,2,7,,6,26,296,141,128,27,2,
Oktibbeha,40,0,,7,7,26,385,210,163,12,5,
Panola,102,5,,0,5,92,790,389,386,15,0,
Scott,34,1,1,,3,29,188,95,72,21,0,
Stone,34,0,6,,2,26,168,60,92,16,2,
Sunflower,24,0,,0,12,12,12,12,0,0,0,
Warren,17,1,5,,1,10,263,51,182,30,2,
Washington,20,0,3,,6,11,323,88,223,12,0,
Andrew,33,2,2,,1,28,107,38,63,6,0,MISSOURI - Metropolitan Counties
Bates,50,0,1,,0,49,125,49,64,12,0,
Bollinger,87,1,3,,7,76,91,34,51,6,0,
Boone,125,0,14,,11,100,601,130,413,58,10,
Buchanan,28,1,0,,2,25,188,62,95,31,9,
Caldwell,17,0,0,,0,17,68,28,36,4,0,
Callaway,117,3,16,,8,90,502,160,303,39,1,
Cape Girardeau,33,0,0,,5,28,196,73,112,11,0,
Cass,60,1,5,,2,52,406,120,249,37,0,
Christian,95,0,7,,2,86,327,116,196,15,5,
Clay,50,1,1,,11,37,236,86,131,19,3,
Clinton,24,0,0,,0,24,105,37,52,16,3,
Cole,42,0,1,,2,39,278,77,179,22,3,
Dallas,22,0,3,,1,18,138,47,73,18,0,
DeKalb,5,0,0,,1,4,44,14,24,6,1,
Franklin,71,2,0,,1,68,548,171,325,52,2,
Greene,83,2,35,,10,36,"1,318",394,782,142,7,
Jackson,85,2,10,,9,64,383,125,220,38,3,
Jasper,123,2,16,,6,99,507,143,302,62,0,
Jefferson,196,2,14,,15,165,"2,284",449,"1,565",270,15,
Lafayette,10,0,1,,0,9,131,38,82,11,2,
Lincoln,132,0,4,,1,127,189,64,99,26,3,
McDonald,101,0,2,,3,96,387,85,262,40,0,
Moniteau,1,0,0,,0,1,40,29,5,6,0,
Newton9,,0,13,,7,,719,159,475,85,21,
Osage,3,0,1,,0,2,42,21,17,4,0,
Platte,41,4,13,,4,20,262,66,168,28,2,
Polk,50,0,7,,2,41,333,133,174,26,3,
Ray,102,0,3,,0,99,111,47,53,11,0,
St. Charles,0,0,0,,0,0,1,0,1,0,0,
St. Charles County Police Department,114,3,18,,9,84,789,198,522,69,8,
St. Louis County Police Department,"1,784",25,195,,399,"1,165","8,291","1,729","5,728",834,63,
Warren,68,0,11,,2,55,219,58,141,20,3,
Webster,11,1,3,,1,6,256,80,155,21,0,
Adair,8,0,1,,0,7,116,46,63,7,0,MISSOURI - Nonmetropolitan Counties
Atchison,1,0,0,,0,1,8,1,4,3,0,
Audrain,22,0,7,,2,13,76,22,48,6,0,
Barry,40,0,6,,0,34,345,124,190,31,1,
Barton,27,0,0,,0,27,97,41,50,6,7,
Benton,80,1,2,,4,73,232,81,133,18,0,
Butler,86,2,1,,6,77,497,110,338,49,0,
Camden5,,4,,,0,79,457,205,229,23,7,
Carroll,3,0,0,,0,3,26,6,19,1,0,
Carter,36,0,5,,1,30,60,25,33,2,0,
Cedar,37,0,1,,0,36,101,43,54,4,1,
Chariton,13,0,0,,0,13,50,22,26,2,0,
Clark,12,0,1,,1,10,40,5,30,5,0,
Cooper,7,0,0,,1,6,83,29,44,10,1,
Crawford,20,0,1,,0,19,223,87,108,28,0,
Dade,28,0,0,,0,28,84,38,43,3,1,
Daviess,9,1,1,,0,7,49,20,24,5,0,
Dent,7,2,2,,1,2,60,29,22,9,0,
Douglas,17,0,0,,0,17,51,19,28,4,3,
Dunklin,22,0,0,,1,21,165,40,110,15,1,
Gasconade,18,0,0,,0,18,116,46,60,10,0,
Gentry,4,0,0,,0,4,37,9,23,5,0,
Grundy,2,0,0,,0,2,18,12,5,1,0,
Harrison,2,0,1,,0,1,61,27,28,6,1,
Henry,54,1,1,,2,50,228,94,115,19,3,
Hickory,0,0,0,,0,0,90,43,45,2,0,
Holt,5,0,0,,0,5,44,20,23,1,0,
Howard,9,0,0,,1,8,67,19,41,7,0,
Howell,53,0,0,,4,49,191,67,102,22,0,
Iron,16,0,0,,1,15,67,32,32,3,1,
Johnson,38,1,4,,1,32,253,67,164,22,0,
Knox,0,0,0,,0,0,15,8,7,0,0,
Laclede,45,0,6,,0,39,268,82,144,42,2,
Lawrence,60,2,7,,1,50,220,94,122,4,1,
Lewis,3,0,1,,0,2,39,15,22,2,1,
Linn,10,0,2,,1,7,45,16,19,10,2,
Livingston,1,0,0,,0,1,37,10,23,4,0,
Macon,14,0,0,,1,13,94,32,57,5,6,
Madison,17,0,5,,1,11,61,11,48,2,1,
Maries,10,0,0,,0,10,38,16,16,6,0,
Marion,8,0,0,,0,8,90,21,63,6,0,
Mercer,0,0,0,,0,0,30,16,8,6,0,
Miller,61,0,3,,1,57,219,67,131,21,3,
Mississippi,9,0,1,,0,8,46,19,23,4,0,
Monroe,5,0,0,,1,4,50,30,15,5,1,
Montgomery,12,0,0,,1,11,83,40,42,1,0,
Morgan,36,0,7,,1,28,202,92,83,27,0,
Nodaway,7,0,4,,0,3,60,25,31,4,0,
Oregon,12,0,1,,0,11,42,18,20,4,1,
Ozark,15,0,0,,2,13,79,23,50,6,4,
Pemiscot,23,0,1,,0,22,100,28,65,7,0,
Perry,36,1,0,,0,35,72,23,39,10,0,
Pettis,29,0,1,,1,27,194,54,126,14,0,
Phelps,19,0,4,,0,15,243,61,171,11,0,
Pike,2,0,0,,1,1,38,17,16,5,2,
Pulaski,65,1,3,,3,58,236,79,138,19,0,
Putnam,0,0,0,,0,0,8,3,3,2,1,
Ralls,19,0,0,,0,19,76,23,42,11,0,
Randolph,10,0,0,,0,10,107,38,61,8,1,
Reynolds,11,2,1,,0,8,41,11,22,8,2,
Ripley,15,0,1,,1,13,193,72,104,17,0,
Saline,5,1,0,,0,4,57,26,27,4,1,
Schuyler,7,0,4,,0,3,29,4,25,0,0,
Scotland,6,0,2,,0,4,24,8,12,4,1,
Scott,178,0,1,,0,177,206,73,120,13,1,
Shannon,24,0,3,,2,19,56,6,41,9,1,
Shelby,3,0,3,,0,0,22,9,11,2,0,
St. Clair,22,1,3,,0,18,148,67,70,11,4,
Ste. Genevieve,31,0,8,,0,23,116,28,71,17,1,
St. Francois,70,2,3,,3,62,390,111,222,57,2,
Stoddard,15,0,0,,1,14,148,39,96,13,0,
Stone,130,0,3,,1,126,378,124,235,19,1,
Sullivan,9,0,2,,0,7,51,24,18,9,0,
Taney,93,0,6,,0,87,337,81,206,50,1,
Texas,21,2,2,,1,16,156,62,79,15,1,
Vernon,68,0,6,,1,61,300,112,165,23,1,
Washington,106,0,14,,4,88,297,98,170,29,5,
Wayne,20,2,5,,0,13,215,80,104,31,1,
Worth,1,0,0,,0,1,8,1,7,0,0,
Wright,26,0,0,,0,26,98,39,43,16,0,
Carbon,15,3,0,,0,12,57,21,31,5,1,MONTANA - Metropolitan Counties
Cascade,27,1,3,,1,22,205,42,144,19,2,
Golden Valley,2,0,0,,0,2,6,3,2,1,0,
Missoula,93,0,16,,3,74,199,100,78,21,4,
Yellowstone,91,0,18,,10,63,668,146,421,101,8,
Beaverhead,3,0,0,,0,3,9,2,7,0,0,MONTANA - Nonmetropolitan Counties
Big Horn,71,2,3,,0,66,411,13,332,66,1,
Blaine,10,0,1,,0,9,3,1,2,0,0,
Broadwater,28,0,0,,0,28,37,10,22,5,0,
Carter,0,0,0,,0,0,0,0,0,0,0,
Custer,9,0,2,,1,6,37,9,22,6,1,
Daniels,0,0,0,,0,0,2,0,1,1,0,
Dawson,18,0,1,,0,17,63,25,31,7,0,
Deer Lodge,37,1,2,,1,33,335,84,217,34,0,
Fallon,2,0,0,,0,2,4,2,1,1,0,
Fergus,32,0,11,,1,20,58,21,34,3,1,
Flathead,191,2,23,,4,162,"1,372",225,991,156,5,
Gallatin,73,2,24,,1,46,420,58,324,38,1,
Garfield,1,0,0,,0,1,8,2,5,1,0,
Glacier,15,0,0,,0,15,43,6,25,12,1,
Granite,5,0,1,,0,4,59,11,43,5,0,
Hill,23,0,2,,0,21,143,28,103,12,1,
Jefferson,34,0,0,,0,34,124,20,93,11,1,
Judith Basin,2,0,0,,0,2,12,3,7,2,0,
Lake,72,1,5,,5,61,316,106,166,44,7,
Lewis and Clark,104,1,25,,5,73,440,111,286,43,9,
Liberty,9,1,0,,0,8,0,0,0,0,0,
Lincoln,28,1,2,,0,25,162,34,118,10,0,
Madison,8,0,0,,0,8,42,12,28,2,1,
McCone,2,0,0,,0,2,11,3,4,4,0,
Meagher,2,0,0,,0,2,13,1,10,2,0,
Mineral,4,0,0,,0,4,0,0,0,0,0,
Musselshell,31,1,1,,1,28,90,14,66,10,2,
Park,16,0,2,,0,14,80,8,65,7,0,
Phillips,11,0,1,,0,10,39,5,31,3,0,
Pondera,1,0,1,,0,0,10,0,9,1,0,
Powder River,0,0,0,,0,0,9,0,8,1,0,
Powell,8,0,2,,0,6,17,5,10,2,0,
Prairie,3,0,0,,0,3,12,1,6,5,0,
Ravalli,61,0,7,,2,52,246,33,207,6,1,
Richland,15,0,4,,0,11,70,10,50,10,0,
Roosevelt,53,2,0,,0,51,43,12,25,6,0,
Rosebud,5,0,1,,0,4,27,6,15,6,0,
Sanders,14,0,4,,1,9,58,11,44,3,2,
Sheridan,6,0,0,,0,6,57,5,52,0,1,
Silver Bow,98,0,10,,3,85,"1,738",210,"1,372",156,1,
Stillwater,17,0,7,,0,10,46,17,22,7,1,
Sweet Grass,5,3,0,,0,2,12,0,10,2,0,
Teton,19,0,2,,1,16,50,23,22,5,0,
Toole,22,0,3,,0,19,72,8,60,4,1,
Treasure,0,0,0,,0,0,1,0,0,1,0,
Valley,8,1,2,,0,5,9,4,5,0,0,
Wheatland,10,0,1,,0,9,6,1,4,1,0,
Wibaux,0,0,0,,0,0,2,0,2,0,0,
Cass,23,0,9,,0,14,202,39,146,17,0,NEBRASKA - Metropolitan Counties
Dakota,18,1,1,,3,13,69,17,43,9,0,
Dixon,3,0,2,,0,1,47,12,30,5,1,
Douglas,159,2,12,,9,136,663,193,402,68,3,
Hall,33,0,1,,0,32,144,42,88,14,2,
Hamilton,8,0,2,,0,6,40,15,17,8,0,
Lancaster,22,0,7,,0,15,200,59,129,12,1,
Merrick,4,0,1,,0,3,10,3,6,1,0,
Sarpy,52,0,9,,8,35,826,90,649,87,0,
Saunders,10,0,3,,0,7,72,28,33,11,1,
Seward,8,0,3,,0,5,27,8,16,3,1,
